artist,album
Cannonball Adderley,Somethin Else
Herbie Hancock,Maiden Voyage
Clifford Brown,Study In Brown
John Coltrane,Blue Train
Cannonball Adderley,& Coltrane
Wayne Shorter,Speak No Evil
Horace Silver,Song For My Father
Dizzy Gillespie,Sonny Side Up
Miles Davis,Kind Of Blue
John Coltrane,Giant Steps
J. J. Johnson,The Eminent Vol. 1
Eric Dolphy,Out To Lunch
Oliver Nelson,Blues & The Abstract Truth
Lee Morgan,The Sidewinder
Hank Mobley,Soul Station
Miles Davis,Milestones
Wes Montgomery,Smokin At The Half Note
Lee Morgan,Cornbread
Larry Young,Unity
Sonny Rollins,Saxophone Collossus
John Coltrane,Mainstream 1958
Mccoy Tyner,The Real Mccoy
John Coltrane,A Love Supreme
Johnny Smith,Moonlight In Vermont
Paul Chambers,Chambers Music
June Christy,Something Cool
Dizzy Gillespie,Jazz At Massey Hall
Art Blakey,A Night At Birdland Vol. 1
Dizzy Gillespie,Duets
Bill Evans,Undercurrent
Gene Ammons,Boss Tenors
Kenny Burrell,& John Coltrane
Miles Davis,Round About Midnight
Erroll Garner,Concert By The Sea
Miles Davis,Relaxin With Miles
Wes Montgomery,Incredible Jazz Guitar
Joe Henderson,Page One
Frank Rosolino,Free For All
Wes Montgomery,Full House
Art Farmer,Modern Art
Carl Fontana,5 Star Ed
Sonny Rollins,Tenor Madness
Art Blakey,Moanin
Thelonious Monk,With John Coltrane
Chick Corea,Now He Sings Now He Sobs
Freddie Hubbard,Open Sesame
Bill Evans,Sunday At Village Vanguard
Charlie Parker,Nows The Time
Stan Getz,For Musicians Only
Dizzy Gillespie,Groovin High
Dexter Gordon,Ballads
Charlie Parker,Bird & Diz
Joe Henderson,Lush Life Strayhorn Music
Freddie Hubbard,Red Clay
Bill Evans,Waltz For Debby
Kenny Dorham,Una Mas
Lester Young,The President Plays W/The Oscar Peterson Trio
Joe Henderson,In N Out
John Coltrane,& Johnny Hartman
Grant Green,Feelin The Spirit
Nancy Wilson,With Cannonball Add.
Miles Davis,Cookin
Red Garland,Groovy
Miles Davis,Steamin With Miles Davis
Johnny Griffin,A Blowin Session
Grant Green,Born To Be Blue
John Coltrane,Ballads
Johnny Hartman,I Just Dropped By To Say Hello
Carl Fontana,The Great Fontana
Grant Green,Idle Moments
Art Blakey,Ugetsu
Stanley Turrentine,Sugar
Bill Evans,Intermodulation
Art Blakey,A Night At Birdland Vol. 2
Freddie Hubbard,Hub Tones
Hank Mobley,The Turnaround!
Bud Powell,The Genius Of
Lee Konitz,Subconscious Lee
Stan Getz,Stan Getz & Bill Evans
Milt Jackson,Bags Meets Wes
Jimmy Smith,Back At The Chicken Shack
Sonny Rollins,Plus Four
June Christy,The Misty Miss Christy
Joe Henderson,Inner Urge
Duke Ellington,Money Jungle
Woody Herman,Keeper Of The Flame
Chet Baker,Playboys
Bud Powell,The Amazing,Vol 1
Oscar Peterson,Plays Count Basie
Clifford Brown,Brown/Roach Inc.
Stan Kenton,Duet
Joe Henderson,Mode For Joe
Horace Silver,Blowin The Blues Away
Clifford Brown,More Study In Brown
Sonny Clark,Leapin And Lopin
Blue Mitchell,The Thing To Do
Johnny Griffin,Introducing
Sonny Stitt,Constellation
Slide Hampton,World Of Trombones
Keith Jarrett,Standards Vol. 1