label,region,image,type,group,tags,id,status,hypervisor,created,updated,ipv4,ipv6,disk,memory,vcpus,transfer,cpu,network_in,network_out,transfer_quota,io,enabled,day,window,watchdog_enabled
ols,us-central,linode/debian7,g6-standard-2,online,,414388,running,kvm,2013-10-25T15:41:41,2018-06-02T23:31:22,198.58.123.176,2600:3c00::f03c:91ff:fedb:fb32/64,81920,4096,2,4000,90,5,5,80,1000,TRUE,Scheduling,Scheduling,TRUE
cmo,us-central,linode/debian7,g5-standard-2,cashmax,,422053,offline,kvm,2013-11-08T17:31:04,2018-02-28T17:25:14,198.58.116.42,2600:3c00::f03c:91ff:fedb:ea88/64,49152,4096,2,3000,90,5,5,80,1000,TRUE,Scheduling,Scheduling,TRUE
vso,us-central,linode/debian7,g5-standard-2,vapor,,468592,running,kvm,2014-01-20T15:05:05,2018-05-16T04:20:23,50.116.27.249,2600:3c00::f03c:91ff:fe6e:3713/64,49152,4096,2,3000,90,5,5,80,1000,TRUE,Scheduling,Scheduling,TRUE
nvo,us-central,linode/debian7.4,g5-standard-2,vapor,,469269,running,kvm,2014-01-21T14:31:58,2017-07-20T00:20:02,173.255.193.26,2600:3c00::f03c:91ff:fe6e:f347/64,49152,4096,2,3000,90,5,5,80,1000,TRUE,Scheduling,Scheduling,TRUE
stc,us-southeast,linode/debian7.5,g6-standard-1,online,,531659,running,kvm,2014-05-16T13:32:51,2018-07-06T21:49:46,173.230.140.231,2600:3c02::f03c:91ff:fe73:4956/64,51200,2048,1,2000,90,5,5,80,1000,TRUE,Scheduling,Scheduling,TRUE
ndv,us-central,linode/debian9,g5-standard-1,vapor,,561449,running,kvm,2014-06-26T13:57:00,2017-10-30T18:46:33,23.239.30.88,2600:3c00::f03c:91ff:fe73:9cb3/64,30720,2048,1,2000,90,5,5,80,1000,TRUE,Scheduling,Scheduling,TRUE
db1,us-central,linode/debian7.5,g5-standard-16,data servers,,570798,running,kvm,2014-07-07T17:07:43,2018-02-27T01:40:54,198.58.104.134,2600:3c00::f03c:91ff:fe73:7845/64,1179648,65536,16,20000,90,5,5,80,1000,FALSE,,,TRUE
rbc,us-central,linode/debian7.5,g6-standard-1,online,,608122,running,kvm,2014-08-18T14:08:45,2018-06-02T23:37:04,69.164.207.169,2600:3c00::f03c:91ff:fe50:c59d/64,51200,2048,1,2000,90,5,5,80,1000,TRUE,Scheduling,Scheduling,TRUE
db2,us-central,linode/debian7.5,g6-standard-24,data servers,,654675,running,kvm,2014-09-23T21:10:23,2018-09-19T01:09:40,96.126.117.98,2600:3c00::f03c:91ff:fe50:c29e/64,2621440,131072,24,20000,90,5,5,80,1000,FALSE,,,TRUE
db3,us-central,linode/debian7,g6-standard-32,data servers,,659242,running,kvm,2014-09-26T20:19:10,2018-08-27T16:41:05,173.255.204.80,2600:3c00::f03c:91ff:fe56:edee/64,3932160,196608,32,20000,90,5,5,80,1000,FALSE,,,TRUE
db4,us-central,linode/debian7,g5-standard-16,data servers,,720965,running,kvm,2014-11-06T15:51:22,2017-11-11T21:14:31,96.126.120.193,2600:3c00::f03c:91ff:fe89:4d83/64,1179648,65536,16,20000,90,5,5,80,1000,FALSE,,,TRUE
vstop,us-central,linode/debian7,g5-standard-1,vapor,,838174,running,kvm,2015-01-26T21:03:12,2017-11-21T06:07:16,192.168.181.71,2600:3c00::f03c:91ff:fe84:b7c2/64,30720,2048,1,2000,90,5,5,80,5000,TRUE,Scheduling,Scheduling,TRUE
five9,us-central,linode/debian8,g5-standard-8,xmlleads,,2000499,running,kvm,2016-06-16T19:42:53,2017-10-15T04:56:06,96.126.122.220,2600:3c00::f03c:91ff:fe0a:329d/64,393216,24576,8,16000,90,10,10,80,10000,TRUE,Scheduling,Scheduling,TRUE
drop,us-central,linode/debian9,g6-standard-1,xmlleads,,2777397,running,kvm,2017-02-24T14:35:16,2018-06-05T14:02:04,45.79.2.238,2600:3c00::f03c:91ff:fee5:8c91/64,51200,2048,1,2000,90,10,10,80,10000,FALSE,,,TRUE
pmm,us-central,linode/debian8,g6-standard-8,data servers,,3102615,running,kvm,2017-05-12T16:09:13,2018-06-05T14:31:06,96.126.121.190,2600:3c00::f03c:91ff:fed5:0a77/64,655360,32768,8,16000,90,10,10,80,10000,FALSE,,,TRUE
rpsg,us-central,linode/debian9,g6-standard-1,online,,3856338,running,kvm,2017-09-29T13:15:17,2018-06-02T23:44:04,45.33.31.92,2600:3c00::f03c:91ff:fe25:7740/64,51200,2048,1,2000,90,10,10,80,10000,FALSE,,,TRUE
mgmt,us-central,linode/debian8,g5-nanode-1,xmlleads,,4549735,running,kvm,2017-12-04T16:08:34,2018-03-19T19:11:24,198.58.103.147,2600:3c00::f03c:91ff:fe86:53dd/64,20480,1024,1,1000,90,10,10,80,10000,FALSE,,,TRUE
cashmax,us-central,linode/debian9,g5-nanode-1,cashmax,,4937424,running,kvm,2018-01-02T15:13:50,2018-01-02T16:51:32,45.33.114.35,2600:3c00::f03c:91ff:fe7f:47c0/64,20480,1024,1,1000,90,10,10,80,10000,FALSE,,,TRUE
dev2,us-central,linode/debian9,g6-standard-2,xmlleads,,5370666,running,kvm,2018-01-19T16:39:31,2018-06-03T01:36:03,45.33.22.95,2600:3c00::f03c:91ff:fe0c:5349/64,81920,4096,2,4000,90,10,10,80,10000,FALSE,,,TRUE
hb123,us-central,linode/debian9,g5-standard-2,xmlleads,,7727634,running,kvm,2018-04-23T15:18:58,2018-04-23T15:34:46,173.255.203.103,2600:3c00::f03c:91ff:fea6:4675/64,49152,4096,2,3000,90,10,10,80,10000,FALSE,,,TRUE
whs,us-central,linode/debian9,g6-standard-20,data servers,,8723432,running,kvm,2018-07-05T13:50:33,2018-07-05T13:56:08,96.126.114.214,2600:3c00::f03c:91ff:fe2b:00c8/64,1966080,98304,20,20000,90,10,10,80,10000,FALSE,,,TRUE
jmc,us-central,linode/debian9,g6-highmem-8,data servers,,10449793,running,kvm,2018-09-24T18:08:29,2018-09-24T18:25:40,45.33.125.195,2600:3c00::f03c:91ff:fe04:4480/64,204800,153600,8,8000,90,10,10,80,10000,FALSE,,,TRUE